标题,详情页url,图片url,类型,关键字,星级,作者
"🤣,废话文学，从反例看费曼说人话的意义以及语言腐败的危害",https://gpt.candobear.com//prompt/prompt-1001gptgpt/yiji,https://gpt.candobear.com//_next/image?url=https%3A%2F%2Fassets.super.so%2F568a941d-9022-406f-aece-1d6b4e4677ae%2Fimages%2F8024989f-5f02-4b35-a0d1-7a71e65d5e28%2FUntitled.jpeg&w=3840&q=80,通用学习类,"废话文学,反面教材,反例,说人话,费曼",★★★★☆,howie.serious
"🇬🇧,Grammar correction 纠正英语语法",https://gpt.candobear.com//prompt/prompt-1001gptgpt/grammar-correction,https://gpt.candobear.com//_next/image?url=https%3A%2F%2Fassets.super.so%2F568a941d-9022-406f-aece-1d6b4e4677ae%2Fimages%2F974539ea-b526-4524-8d36-6ea34ace42d8%2FUntitled.jpeg&w=3840&q=80,语言学习类,"英语,语法",★★★★☆,howie.serious
中译英及翻译点评,https://gpt.candobear.com//prompt/prompt-1001gptgpt/%E4%B8%AD%E8%AF%91%E8%8B%B1%E5%8F%8A%E7%BF%BB%E8%AF%91%E7%82%B9%E8%AF%84,-,语言学习类,"英语,翻译,反馈",★★★★☆,howie.serious
批改并点评英语作文,https://gpt.candobear.com//prompt/prompt-1001gptgpt/%E6%89%B9%E6%94%B9%E5%B9%B6%E7%82%B9%E8%AF%84%E8%8B%B1%E8%AF%AD%E4%BD%9C%E6%96%87,-,语言学习类,"英语,作文,批改,反馈",★★★★★,howie.serious
"👨‍🏫,things explainer 万能费曼机：用痞子阿姆的风格解释量子理论",https://gpt.candobear.com//prompt/prompt-1001gptgpt/things-explainereminem-style-quantum-theory,https://gpt.candobear.com//_next/image?url=https%3A%2F%2Fassets.super.so%2F568a941d-9022-406f-aece-1d6b4e4677ae%2Fimages%2F813e6207-451c-4e1e-81f9-be5440069dad%2FUntitled.jpeg&w=3840&q=80,通用学习类,"费曼学习法,费曼",★★★★★,howie.serious
"🚀,First Principles 第一性原理",https://gpt.candobear.com//prompt/prompt-1001gptgpt/first-principles,https://gpt.candobear.com//_next/image?url=https%3A%2F%2Fassets.super.so%2F568a941d-9022-406f-aece-1d6b4e4677ae%2Fimages%2F0fcbecf4-5074-4d3f-8de0-070fcd9edbc7%2FUntitled.jpeg&w=3840&q=80,通用学习类,"第一性原理,概念性知识,费曼学习法",★★★★☆,howie.serious
"🎹,学习教练：,how to practice piano",https://gpt.candobear.com//prompt/prompt-1001gptgpt/how-to-practice-piano,https://gpt.candobear.com//_next/image?url=https%3A%2F%2Fassets.super.so%2F568a941d-9022-406f-aece-1d6b4e4677ae%2Fimages%2Fcf06ebeb-6e5b-4b07-b634-5dc0c1a7ed5b%2FUntitled.jpeg&w=3840&q=80,通用学习类,"技能学习,音乐",★★★★☆,howie.serious
"🦾,增强阅读：成立大数据局，与我何干?",https://gpt.candobear.com//prompt/prompt-1001gptgpt/%E5%A2%9E%E5%BC%BA%E9%98%85%E8%AF%BB%E6%88%90%E7%AB%8B%E5%A4%A7%E6%95%B0%E6%8D%AE%E5%B1%80%E4%B8%8E%E6%88%91%E4%BD%95%E5%B9%B2,https://gpt.candobear.com//_next/image?url=https%3A%2F%2Fassets.super.so%2F568a941d-9022-406f-aece-1d6b4e4677ae%2Fimages%2Fee5a6f19-285a-41cb-90bc-b8cd4d9be10f%2FUntitled.jpeg&w=3840&q=80,阅读增强类,"费曼式学习,增强阅读,批判性思维",★★★★★,howie.serious
"📖,Create study notes ,生成学习笔记",https://gpt.candobear.com//prompt/prompt-1001gptgpt/create-study-notes,https://gpt.candobear.com//_next/image?url=https%3A%2F%2Fassets.super.so%2F568a941d-9022-406f-aece-1d6b4e4677ae%2Fimages%2Ffcba86ad-b22e-4946-a4c6-c53429b999d5%2FUntitled.jpeg&w=3840&q=80,通用学习类,"学术,主题学习,学习笔记",★★★★★,howie.serious
"👨‍🎨,提问 Principles of Arts",https://gpt.candobear.com//prompt/prompt-1001gptgpt/principles-of-arts,https://gpt.candobear.com//_next/image?url=https%3A%2F%2Fassets.super.so%2F568a941d-9022-406f-aece-1d6b4e4677ae%2Fimages%2Faa98b4ca-3402-46e3-8dd2-af7c6a93883a%2FUntitled.jpeg&w=3840&q=80,通用学习类,费曼,★★★★★,howie.serious
"book list maker ,列书单",https://gpt.candobear.com//prompt/prompt-1001gptgpt/book-list-maker,https://gpt.candobear.com//_next/image?url=https%3A%2F%2Fassets.super.so%2F568a941d-9022-406f-aece-1d6b4e4677ae%2Fimages%2Fc9f4d4b0-f5bd-41f2-b5a5-449d8a0cdda2%2FUntitled.jpeg&w=3840&q=80,通用学习类,"书单,读书",★★★★★,-
"quiz maker, 生成测试题目",https://gpt.candobear.com//prompt/prompt-1001gptgpt/quiz-maker,-,通用学习类,"quiz,测试,复习",★★★★★,howie.serious
"Factual answering ,事实性知识",https://gpt.candobear.com//prompt/prompt-1001gptgpt/factual-answering,-,通用学习类,事实性知识,★★★☆☆,howie.serious
summarize 总结文章,https://gpt.candobear.com//prompt/prompt-1001gptgpt/summarize,-,阅读增强类,阅读,★★★★★,howie.serious
"book summarize ,生成书籍解读",https://gpt.candobear.com//prompt/prompt-1001gptgpt/book-summarize,-,阅读增强类,读书,★★★☆☆,howie.serious
Keywords 提取关键词,https://gpt.candobear.com//prompt/prompt-1001gptgpt/keywords,-,阅读增强类,-,★★★☆☆,-
针对文本提出问题获得回答,https://gpt.candobear.com//prompt/prompt-1001gptgpt/%E9%92%88%E5%AF%B9%E6%96%87%E6%9C%AC%E6%8F%90%E5%87%BA%E9%97%AE%E9%A2%98%E8%8E%B7%E5%BE%97%E5%9B%9E%E7%AD%94,-,阅读增强类,-,★★★☆☆,-
"📝,Essay outline 生成论文大纲",https://gpt.candobear.com//prompt/prompt-1001gptgpt/essay-outline,https://gpt.candobear.com//_next/image?url=https%3A%2F%2Fassets.super.so%2F568a941d-9022-406f-aece-1d6b4e4677ae%2Fimages%2F3a647ba7-eab6-431b-bee1-3bbcc1feb159%2FUntitled.jpeg&w=3840&q=80,写作类,大纲,★★★★☆,howie.serious
